E R
1.000E-03 1.471E-05
1.500E-03 1.906E-05
2.000E-03 2.285E-05
2.500E-03 2.623E-05
3.000E-03 2.933E-05
4.000E-03 3.487E-05
5.000E-03 3.981E-05
6.000E-03 4.430E-05
7.000E-03 4.845E-05
8.000E-03 5.232E-05
9.000E-03 5.597E-05
1.000E-02 5.943E-05
1.250E-02 6.746E-05
1.500E-02 7.489E-05
1.750E-02 8.186E-05
2.000E-02 8.848E-05
2.250E-02 9.481E-05
2.500E-02 1.009E-04
2.750E-02 1.069E-04
3.000E-02 1.126E-04
3.500E-02 1.239E-04
4.000E-02 1.348E-04
4.500E-02 1.455E-04
5.000E-02 1.560E-04
5.500E-02 1.665E-04
6.000E-02 1.770E-04
6.500E-02 1.875E-04
7.000E-02 1.981E-04
7.500E-02 2.087E-04
8.000E-02 2.194E-04
8.500E-02 2.302E-04
9.000E-02 2.411E-04
9.500E-02 2.521E-04
1.000E-01 2.632E-04
1.250E-01 3.205E-04
1.500E-01 3.808E-04
1.750E-01 4.439E-04
2.000E-01 5.098E-04
2.250E-01 5.785E-04
2.500E-01 6.498E-04
2.750E-01 7.236E-04
3.000E-01 8.001E-04
3.500E-01 9.605E-04
4.000E-01 1.131E-03
4.500E-01 1.312E-03
5.000E-01 1.503E-03
5.500E-01 1.704E-03
6.000E-01 1.915E-03
6.500E-01 2.136E-03
7.000E-01 2.366E-03
7.500E-01 2.606E-03
8.000E-01 2.856E-03
8.500E-01 3.114E-03
9.000E-01 3.382E-03
9.500E-01 3.659E-03
1.000E+00 3.945E-03
1.250E+00 5.509E-03
1.500E+00 7.287E-03
1.750E+00 9.272E-03
2.000E+00 1.146E-02
2.250E+00 1.384E-02
2.500E+00 1.641E-02
2.750E+00 1.916E-02
3.000E+00 2.210E-02
3.500E+00 2.852E-02
4.000E+00 3.563E-02
4.500E+00 4.343E-02
5.000E+00 5.188E-02
5.500E+00 6.098E-02
6.000E+00 7.072E-02
6.500E+00 8.109E-02
7.000E+00 9.207E-02
7.500E+00 1.037E-01
8.000E+00 1.158E-01
8.500E+00 1.286E-01
9.000E+00 1.420E-01
9.500E+00 1.559E-01
1.000E+01 1.705E-01
1.250E+01 2.515E-01
1.500E+01 3.462E-01
1.750E+01 4.541E-01
2.000E+01 5.748E-01
2.500E+01 8.533E-01
2.750E+01 1.011E+00
3.000E+01 1.180E+00
3.500E+01 1.552E+00
4.000E+01 1.968E+00
4.500E+01 2.427E+00
5.000E+01 2.928E+00
5.500E+01 3.469E+00
6.000E+01 4.050E+00
6.500E+01 4.669E+00
7.000E+01 5.325E+00
7.500E+01 6.018E+00
8.000E+01 6.747E+00
8.500E+01 7.511E+00
9.000E+01 8.309E+00
9.500E+01 9.141E+00
1.000E+02 1.001E+01
1.250E+02 1.480E+01
1.500E+02 2.032E+01
1.750E+02 2.651E+01
2.000E+02 3.331E+01
2.250E+02 4.067E+01
2.500E+02 4.855E+01
2.750E+02 5.691E+01
3.000E+02 6.572E+01
3.500E+02 8.454E+01
4.000E+02 1.048E+02
4.500E+02 1.263E+02
5.000E+02 1.489E+02
5.500E+02 1.724E+02
6.000E+02 1.968E+02
6.500E+02 2.219E+02
7.000E+02 2.476E+02
7.500E+02 2.740E+02
8.000E+02 3.008E+02
8.500E+02 3.282E+02
9.000E+02 3.559E+02
9.500E+02 3.840E+02
1.000E+03 4.124E+02
1.500E+03 7.087E+02
2.000E+03 1.016E+03
2.500E+03 1.325E+03
3.000E+03 1.635E+03
4.000E+03 2.248E+03
5.000E+03 2.853E+03
6.000E+03 3.448E+03
7.000E+03 4.035E+03
8.000E+03 4.615E+03
9.000E+03 5.189E+03
1.000E+04 5.757E+03
